Latitude;Longitude;Num Ligne;rang;Type;Nom_Station;trafic_2018;trafic_2019;trafic_2020;correspondance_1;correspondance_2;correspondance_3;correspondance_4;correspondance_5;ville;arrondissement_pour_paris;;annee;traffic total
48.8618222746;2.34701268722;"RER A; RER B; RER D";3;RER;CHATELET-LES HALLES-RER;33424797;33581162;18301464;RER A;RER B;RER D;Pas de correspondance;Pas de correspondance;Paris;1;;;
48.8106010945;2.30035747443;"13; T6";33;Metro;CHATILLON-MONTROUGE;7574425;7196503;3738453;13;T6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Chatillon;;;;
48.8852112182;2.1559034719;RER A;46;RER;CHATOU-CROISSY;2365895;2332806;1230132;RER A;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Chatou;;;;
48.8731092743;2.33345121858;"7; 9";50;Metro;CHAUSSEE D'ANTIN-LA FAYETTE;7470237;7312371;3299036;7;9;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;9;;;
48.8574200375;2.3681082907;8;281;Metro;CHEMIN VERT;1524831;1527533;685924;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;11;;;
48.8349477223;2.36812632906;6;126;Metro;CHEVALERET;3257784;3426306;1923876;6;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;13;;;
48.8549363766;2.34732131573;4;275;Metro;CITE;2237552;1740572;741182;4;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;4;;;
48.8203500342;2.33858074964;"RER B; T3A";12;RER;CITE UNIVERSITAIRE;7338836;7531642;3853590;RER B;T3A;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;14;;;
48.8510502823;2.34427334542;10;262;Metro;CLUNY LA SORBONNE;2493703;2232036;842980;10;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;5;;;
48.8776101874;2.37081139531;2;94;Metro;COLONEL FABIEN;4794789;4511921;2378863;2;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;10;;;
48.8447947646;2.29395196364;8;159;Metro;COMMERCE;2973194;2864592;1616379;8;Pas de correspondance;Pas de correspondance;Pas de correspondance;Pas de correspondance;Paris;15;;;
48.8662858046;2.32294341224;"1; 8; 12";75;Metro;CONCORDE;6325918;6115023;2617251;1;8;12;Pas de correspondance;Pas de correspondance;Paris;8;;;
