Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_OPERATI;OPERATION;NATURE;MODE_;SOUS_MODE;INDICE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [2.575349712723099, 48.60081579893403]}";Le Parc;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.6008157989,2.57534971272
"{""type"": ""Point"", ""coordinates"": [2.402372329417669, 48.891161031024176]}";Hoche;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;1;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.891161031,2.40237232942
"{""type"": ""Point"", ""coordinates"": [2.304537337829181, 48.762893181667465]}";La Croix de Berny;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;1;1;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7628931817,2.30453733783
"{""type"": ""Point"", ""coordinates"": [2.259692733398718, 48.76552647712183]}";Cinéma Rex;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7655264771,2.2596927334
"{""type"": ""Point"", ""coordinates"": [2.577409173933251, 48.59609493131661]}";Les Lycées;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.5960949313,2.57740917393
"{""type"": ""Point"", ""coordinates"": [2.463633195954914, 48.902640068469665]}";Territoires de l'Ourcq;244;TZen3;24401;TZen3 : TCSP RN3;arrêt;2;22;3;0;0;1;;1;0;0;8;1;2016-12-15T01:00:00+01:00;1;48.9026400685,2.46363319595
"{""type"": ""Point"", ""coordinates"": [2.395151147083595, 48.65310107217424]}";Gare RER - Grigny Centre;245;TZen4;24501;TZen4 : TCSP Ligne 402;arrêt;2;22;4;1;0;1;;1;0;0;8;1;2016-12-08T01:00:00+01:00;1;48.6531010722,2.39515114708
"{""type"": ""Point"", ""coordinates"": [2.282021568209069, 48.76255014587565]}";D128 - Vincent Fayo;316;Tram 10;31601;T10 : Tramway Antony - Clamart;arrêt;3;31;10;0;0;1;;1;0;0;9;1;2016-10-11T02:00:00+02:00;1;48.7625501459,2.28202156821
"{""type"": ""Point"", ""coordinates"": [2.590188195221038, 48.59455689204032]}";Les Routoires;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.594556892,2.59018819522
"{""type"": ""Point"", ""coordinates"": [2.546978765770108, 48.61163666359668]}";Cueillette;243;TZen2;24301;TZen2 : TCSP Melun - Sénart;arrêt;2;22;2;0;0;1;;1;0;0;8;1;2014-07-30T02:00:00+02:00;1;48.6116366636,2.54697876577
"{""type"": ""Point"", ""coordinates"": [2.215228334498097, 48.89625574349371]}";Droits de l'Homme;301;Tram 01 - Rueil;30105;T1 Ouest : Nanterre - Rueil;arrêt;3;31;1;0;0;3;;0;1;0;5;0;;1;48.8962557435,2.2152283345
